DW_DATE_KEY|DW_BUDGET_SBU_KEY|DW_BUDGET_ITEM_KEY|BUDGET_AMT|ACTUAL_AMT|VARIANCE
20120731|55|2|341250000|17979001.48|323270998.52
20120731|56|1|929000000|317978364.72|611021635.28
20120731|56|2|232250000|10625147.31|221624852.69
20120731|57|1|875000000|276892727.24|598107272.76
20120731|57|2|218750000|43443876.99|175306123.01
20120731|58|1|984000000|494248138.57|489751861.43
20120731|58|2|246000000|74430913.68|171569086.32
20120731|59|1|1597000000|708212080.59|888787919.41
20120731|59|2|399250000|32419942.49|366830057.51
20120731|60|1|963000000|469048548.38|493951451.62
20120731|60|2|240750000|10570866.21|230179133.79
20120731|61|1|1167000000|498584941.62|668415058.38
20120731|61|2|291750000|10343948.73|281406051.27
20120731|62|1|1008000000|316912028.29|691087971.71
20120731|62|2|252000000|72282008.13|179717991.87
20120731|63|1|1733000000|1287702272.65|445297727.35
20120731|63|2|433250000|236088749.35|197161250.65
20120731|64|1|2531000000|1354016946.79|1176983053.21
20120731|64|2|632750000|17848921.44|614901078.56
20120731|65|1|1190000000|549132143.19|640867856.81
20120731|65|2|297500000|14769267.68|282730732.32
20120731|66|1|1205000000|554332222.16|650667777.84
20120731|66|2|301250000|14960733.99|286289266.01
20120731|67|1|1079000000|783493196.66|295506803.34
20120731|67|2|269750000|21410255.15|248339744.85
20120731|68|1|1460000000|421139522.23|1038860477.77
20120731|68|2|365000000|238160630.11|126839369.89
20120731|69|1|1206000000|539537238.52|666462761.48
20120731|69|2|301500000|25598151.83|275901848.17
20120731|70|1|1331000000|303299853.12|1027700146.88
20120731|70|2|332750000|407283097|-74533097
20120731|71|1|997000000|328239892.49|668760107.51
20120731|71|2|249250000|56805838.15|192444161.85
20120731|72|1|697000000|147109828.54|549890171.46
20120731|72|2|174250000|3611042.4|170638957.6
20120731|73|1|997000000|647488087.27|349511912.73
20120731|73|2|249250000|30074709.34|219175290.66
20120731|74|1|955000000|244564974.84|710435025.16
20120731|74|2|238750000|39242735.79|199507264.21
20120731|75|1|1545000000|695471168.75|849528831.25
20120731|75|2|386250000|187716914.08|198533085.92
20120731|76|1|1151000000|569789504.82|581210495.18
20120731|76|2|287750000|79743355.18|208006644.82
20120731|77|1|1250000000|571799688.68|678200311.32
20120731|77|2|312500000|190940253.61|121559746.39
20120731|78|1|1423000000|798212373.06|624787626.94
20120731|78|2|355750000|121295573.2|234454426.8
20120731|79|1|1689000000|320252034.38|1368747965.62
20120731|79|2|422250000|63818709.56|358431290.44
20120731|80|1|1318000000|577130829.17|740869170.83
20120731|80|2|329500000|44490794.85|285009205.15
20120731|81|1|3411000000|2251161582.06|1159838417.94
20120731|81|2|852750000|375069203.72|477680796.28
20120731|82|1|2337000000|1200351183.97|1136648816.03
20120731|82|2|584250000|730309108.58|-146059108.58
20120731|83|1|1754000000|7007.06|1753992992.94
20120731|83|2|438500000|0|438500000
20120731|84|1|2223000000|1013335930.06|1209664069.94
20120731|84|2|555750000|100383725.88|455366274.12
20120731|85|1|1972000000|967882.33|1971032117.67
20120731|85|2|493000000|0|493000000
20120731|86|1|2092000000|1782077242.03|309922757.97
20120731|86|2|523000000|290855798.96|232144201.04
20120731|87|1|2173000000|1345922671.65|827077328.35
20120731|87|2|543250000|369396710.84|173853289.16
20120731|88|1|1844000000|835690560.31|1008309439.69
20120731|88|2|461000000|267991751.54|193008248.46
20120731|89|1|2358000000|1186292046.7|1171707953.3
20120731|89|2|589500000|309546286.68|279953713.32
20120731|90|1|1138000000|458162841.32|679837158.68
20120731|90|2|284500000|309969424.1|-25469424.1
20120731|91|1|1053000000|697129296.24|355870703.76
20120731|91|2|210600000|25523737.63|185076262.37
20120731|92|1|1699000000|1583821361.44|115178638.56
20120731|92|2|339800000|86362953.7|253437046.3
20120731|93|1|875000000|461642411.87|413357588.13
20120731|93|2|175000000|28239218.21|146760781.79
20120731|94|1|1419000000|645356104.52|773643895.48
20120731|94|2|283800000|54510871.07|229289128.93
20120731|95|1|1057000000|305056575.8|751943424.2
20120731|95|2|211400000|127361908.06|84038091.94
20120731|96|1|1082000000|409173767.01|672826232.99
20120731|96|2|216400000|106741909.25|109658090.75
20120731|97|1|696000000|140533995.05|555466004.95
20120731|97|2|139200000|165902926.85|-26702926.85
20120731|98|1|1717000000|910334643.57|806665356.43
20120731|98|2|343400000|713001885.81|-369601885.81
20120731|99|1|632000000|226412663.93|405587336.07
20120731|99|2|126400000|49899377.26|76500622.74
20120731|100|1|549000000|2231691.14|546768308.86
20120731|100|2|109800000|3775971.03|106024028.97
20120731|101|1|1097000000|496676082.98|600323917.02
20120731|101|2|219400000|8153493.24|211246506.76
20120731|102|1|1056000000|508580972.29|547419027.71
20120731|102|2|211200000|14723763.28|196476236.72
20120731|103|1|736000000|201538656.14|534461343.86
20120731|103|2|147200000|32163723.24|115036276.76
20120731|104|1|1459000000|792673333.13|666326666.87
20120731|104|2|291800000|11811015.75|279988984.25
20120731|105|1|950000000|574339862.76|375660137.24
20120731|105|2|190000000|52714512.56|137285487.44
20121231|155|2|308000000|100583658.68|207416341.32
20121231|156|1|1619000000|656549373.62|962450626.38
20121231|156|2|404750000|46675113.64|358074886.36
20121231|157|1|1344444000|521549989.3|822894010.7
20121231|157|2|336111000|329451.56|335781548.44
20121231|158|1|1317000000|1482242938.12|-165242938.12
20121231|158|2|329250000|475085365.53|-145835365.53
20121231|159|1|1791000000|1296358198.61|494641801.39
20121231|159|2|447750000|19400423.26|428349576.74
20121231|160|1|2800000000|821556066.26|1978443933.74
20121231|160|2|700000000|1590043.44|698409956.56
20121231|161|1|52000000000|14183567520.13|37816432479.87
20121231|161|2|5200000000|162253201.29|5037746798.71
20121130|145|1|1307000000|473670785.64|833329214.36
20121130|145|2|261400000|27337812.96|234062187.04
20121130|146|1|1231000000|573049917.3|657950082.7
20121130|146|2|246200000|352461561.97|-106261561.97
20121130|147|1|779000000|409450966.44|369549033.56
20121130|147|2|155800000|20785768.01|135014231.99
20121130|148|1|1587000000|3144.48|1586996855.52
20121130|148|2|317400000|0|317400000
20121130|149|1|1506000000|316748767.01|1189251232.99
20121130|149|2|301200000|16696752.8|284503247.2
20121130|150|1|941000000|340132110.88|600867889.12
20121130|150|2|188200000|11472777.72|176727222.28
20121130|151|1|1785000000|927574585.34|857425414.66
20121130|151|2|357000000|17851344.45|339148655.55
20121130|152|1|1918000000|691176796.54|1226823203.46
20120731||1|0|16731867210.11|-16731867210.11
20120731||2|0|6141016251.42|-6141016251.42
20120731|1|1|2321000000|570850309|1750149691
20120731|1|2|580250000|491415.83|579758584.17
20120731|2|1|1715000000|1068893663.67|646106336.33
20120731|2|2|428750000|66464423.44|362285576.56
20120731|3|1|1292000000|681277890.94|610722109.06
20120731|3|2|323000000|6583028.1|316416971.9
20120731|4|1|1132000000|383422992.75|748577007.25
20120731|4|2|283000000|28636463.63|254363536.37
20120731|5|1|1104000000|655037447.35|448962552.65
20120731|5|2|276000000|33463527.26|242536472.74
20120731|6|1|1347000000|730514511.78|616485488.22
20120731|6|2|336750000|11824470.17|324925529.83
20120731|7|1|1301000000|560172456.28|740827543.72
20120731|7|2|260200000|16410803.77|243789196.23
20120731|8|1|2561000000|1593228676.28|967771323.72
20120731|8|2|512200000|364445522.47|147754477.53
20120731|9|1|1136000000|462663636.48|673336363.52
20120731|9|2|227200000|73713866.78|153486133.22
20120731|10|1|2181000000|1451173414.92|729826585.08
20120731|10|2|436200000|152304960|283895040
20120731|11|1|1520000000|767696748.13|752303251.87
20120731|11|2|304000000|20851102.16|283148897.84
20120731|12|1|1444000000|827990908.79|616009091.21
20120731|12|2|288800000|4001167.24|284798832.76
20120731|13|1|1896000000|647010818.9|1248989181.1
20120731|13|2|379200000|630123182.02|-250923182.02
20120731|14|1|1232000000|283208807.86|948791192.14
20120731|14|2|246400000|2019413.1|244380586.9
20120731|15|1|1595000000|303490622|1291509378
20120731|15|2|319000000|7130.14|318992869.86
20120731|16|1|2488000000|1564407749.21|923592250.79
20120731|16|2|497600000|9145222.35|488454777.65
20120731|17|1|1441000000|665505527.54|775494472.46
20120731|17|2|288200000|10462.77|288189537.23
20120731|18|1|1608000000|303822315.23|1304177684.77
20120731|18|2|321600000|7771374.27|313828625.73
20120731|19|1|1385000000|335408174.79|1049591825.21
20120731|19|2|277000000|24459863.01|252540136.99
20120731|20|1|1366000000|1175791602.08|190208397.92
20120731|20|2|273200000|6493947.96|266706052.04
