DW_DATE_KEY|D_TRANSACTION_TYPE_KEY|DW_ACCOUNT_TYPE_KEY|AMOUNT
20121016|5|121|456976382.8
20121016|2|9|10317160.95
20121016|2|328|1293538
20121016|2|255|27100808.66
20121016|2|97|1300546.44
20121016|2|281|3910.75
20121016|5|345|3000
20121016|1|229|1218163
20121016|5|384|49000
20121016|2|332|547.81
20121016|5|104|31130054.64
20121016|5|316|10027152.63
20121016|5|286|1300546.44
20121016|2|79|3280.87
20121016|5|307|116631.62
20121016|5|111|8261187.97
20121016|2|354|1105303.67
20121016|2|355|1363560
20121016|5|284|518437.83
20121016|6|8|605382301.18
20121016|2|2|8160055
20121016|2|87|518437.83
20121016|2|121|427314763.33
20121016|2|337|48.36
20121016|2|258|925788431.59
20121016|4|261|4316055
20121016|4|258|889639292.19
20121016|2|254|454788
20121016|4|2|2846500
20121016|5|86|134733.03
20121016|5|333|161657.39
20121016|3|8|20056250
20121016|5|107|1771662.51
20121016|5|308|8736
20121016|5|118|3653678.51
20121016|1|118|5103766.87
20121016|5|288|32.01
20121016|5|303|3299161.22
20121016|4|118|280757.27
20121016|2|92|4299.19
20121016|5|323|129000
20121016|5|319|30200
20121016|2|104|35994954.99
20121016|2|312|10
20121016|2|250|129169295.94
20121016|4|229|5100918.75
20121016|2|229|120494240.07
20121016|5|336|229508.2
20121016|2|350|29250
20121016|3|6|416560091.38
20121016|5|282|7373182.06
20121016|5|261|644791349.21
20121016|2|227|296957101.59
20121016|5|11|98820
20121016|5|13|11003
20121016|2|260|28676076746.02
20121016|5|264|948547264.28
20121016|5|10|376168.83
20121016|5|14|1526371.4
20121016|1|264|205674350
20121016|5|236|15157567.97
20121016|2|330|951236.1
20121016|2|239|307377.05
20121016|1|2|63612000
20121016|4|316|5563.89
20121016|5|8|1436672469.92
20121016|5|87|165598.05
20121016|2|7|12177558443.74
20121016|2|321|499.42
20121016|5|1|60616750
20121016|2|131|35244720
20121016|2|338|4.2
20121017|5|309|1427351.9
20121017|2|351|5734508.1
20121017|4|1|8432718166.65
20121017|2|316|154883.99
20121017|5|237|43.64
20121017|2|261|1134209935.94
20121017|2|337|43.63
20121017|5|236|14885313.76
20121017|5|333|98542.85
20121017|5|94|71.59
20121017|5|238|4.14
20121017|2|92|4640.38
20121017|2|363|40000
20121017|2|387|1364944.71
20121017|5|384|857500
20121017|5|234|1291792.19
20121017|5|292|550
20121017|2|362|734662.68
20121017|2|2|5183000
20121017|4|261|66951240
20121017|4|258|743168847.44
20121017|5|86|513803.66
20121017|5|235|277499.22
20121017|5|97|1071038.24
20121017|2|254|24148259.34
20121017|1|261|2332350
20121017|2|353|99020
20121017|5|362|4011.66
20121017|5|107|1771662.49
20121017|2|7|11175650104.97
20121017|5|358|38150
20121017|2|118|172102.79
20121017|5||456723393.51
20121017|2|120|24461054.54
20121017|2|125|10444726769.42
20121017|5|294|40692925.26
20121017|5|111|6618026
20121017|5|316|11235355.05
20121017|5|9|4208906.05
20121017|5|377|345364
20121017|2|86|8888830.26
20121017|4|264|258363700
20121017|4|227|13000
20121017|2|97|1254098.36
